name,r,g,b
kettle,208,172,148
fishbowl,147,138,129
sofa,137,85,99
telephone,124,101,113
amplifier,64,35,52
loudspeaker,183,123,104
playstation,69,102,72
wood_board,190,71,0
floor_lamp,1,51,73
computer,79,198,1
pan,207,205,172
dresser,2,82,95
curtain,168,140,133
chessboard,99,99,117
candle,184,129,131
drumset,136,85,120
pedestal_fan,215,144,255
chair,163,243,171
heater,160,88,55
knife_rack,148,58,77
ladder,10,163,247
container,221,182,208
poker_chips,198,0,90
workplace,136,111,76
ATM,218,0,124
utensil_holder,232,48,0
stand,120,175,161
rug,85,129,59
piano,188,35,255
pet,123,79,75
single_bed,146,35,41
grill,149,138,159
fork,41,96,124
dryer,102,225,211
slot_machine_and_chair,255,26,89
ceiling_fan,91,17,60
cellphone,131,164,133
cloth,140,208,255
food_processor,84,158,121
OTHER,0,132,111
hanging_kitchen_cabinet,50,0,51
partition,204,170,53
kitchen_set,73,75,90
toilet,255,145,63
shelving,100,49,39
stereo_set,0,0,53
game_table,4,247,87
arch,245,225,255
fence,188,177,229
plates,107,0,44
clock,41,32,29
toilet_paper,55,33,1
knife,250,208,159
basketball_hoop,253,232,220
fruit_bowl,163,132,105
bottle,234,139,102
table,231,4,196
air_conditioner,0,28,30
umbrella,30,110,0
ottoman,91,69,52
beer,32,22,37
soap_dish,150,149,197
lawn_mower,81,160,88
double_bed,118,145,47
spoon,52,54,45
ceiling,151,151,158
pool,152,208,88
storage_bench,76,96,1
vacuum_cleaner,150,43,117
hair_dryer,57,20,6
whiteboard,215,191,194
slot_machine,226,0,39
cart,0,198,200
range_oven_with_hood,28,230,255
xbox,100,84,123
place_setting,198,220,153
coffee_machine,111,0,98
outdoor_lamp,163,200,201
range_oven,121,120,104
bread,163,164,137
fireplace,0,72,156
television,75,129,96
kitchen_cabinet,255,52,255
trash_can,191,86,80
pillow,69,44,44
tripod,255,104,50
cup,200,98,64
drinkbar,209,87,160
switch,0,106,102
mortar_and_pestle,34,40,0
empty,134,142,126
vase,122,73,0
wall,119,38,0
ironing_board,210,220,213
microphone,131,171,88
coffee_table,21,160,138
headphones_on_stand,0,137,163
food_tray,188,101,233
coffin,29,23,2
washer,0,137,65
books,161,194,153
table_and_chair,90,0,7
armchair,153,173,192
refrigerator,255,219,229
laptop,27,225,119
column,97,97,90
picture_frame,60,62,110
range_hood_with_cabinet,181,244,255
shoes_cabinet,102,121,109
toiletries,0,75,40
fish_tank,204,184,124
office_chair,185,3,170
gym_equipment,210,0,150
toilet_plunger,255,93,167
goal_post,107,148,170
rifle_on_wall,190,196,89
desk,103,17,144
range_hood,153,125,135
toaster,169,115,153
Ground,143,176,255
stationary_container,160,121,191
headstone,209,97,0
iron,255,160,242
helmet,61,79,68
dining_table,0,96,205
household_appliance,120,158,201
dressing_table,200,208,246
chair_set,0,77,67
containers,180,168,189
shoes,109,128,186
weight_scale,156,105,102
sink,155,151,0
wall_lamp,74,59,83
hanger,181,214,195
cake,200,161,161
person,0,166,170
floor,255,47,128
stairs,125,90,68
keyboard,167,111,66
outdoor_seating,128,108,102
roof,184,148,166
cutting_board,87,83,41
cooker,164,232,4
mailbox,228,255,252
car,176,91,111
microwave,0,194,160
bookshelf,91,50,19
magazines,244,215,73
ipad,59,0,10
glass,209,247,206
camera,113,187,140
mirror,94,255,3
guitar,12,189,102
window,99,255,172
bunker_bed,94,188,209
bathtub,48,0,24
theremin,0,111,166
teapot,2,104,78
book,99,103,169
water_dispenser,164,91,2
towel_hanger,231,171,99
garage_door,0,19,37
Box,254,255,230
unknown,186,9,0
shower,58,36,101
toy,131,115,147
bicycle,55,69,39
chandelier,255,255,254
dishwasher,81,58,1
plant,183,151,98
baby_bed,192,185,178
accordion,107,58,100
soap_dispenser,189,201,210
door,194,255,153
coffee_kettle,255,170,146
wardrobe_cabinet,233,129,118
motorcycle,0,69,210
towel_rack,114,65,143
Ceiling,244,171,170
table_lamp,159,160,100
food,128,150,147
surveillance_camera,221,239,255
tv_stand,167,117,0
gramophone,255,255,0
jug,71,103,93
safe,30,2,0
bench_chair,59,151,0
outdoor_spring,1,44,88
trinket,202,131,78
tricycle,255,246,159
decoration,0,0,95
